Date,FD,PPF,EPF
1/1/2024,6.976357566,6.981408585,7.933420472
1/1/2025,7.065852095,7.05481661,7.74792894
1/1/2026,7.023395369,7.15042145,7.563259178
1/1/2027,6.920243707,7.266312705,7.380240674
1/1/2028,6.78917359,7.400345185,7.199687584
1/1/2029,6.645261542,7.550174991,7.022395191
1/1/2030,6.495442463,7.713297451,6.849136477
